SITE_ID,ABMA,PIAL,TSME,ALIN,PUTR,xcoord,ycoord
0,0,0,0,0,0,760568,4314072
0,0,0,0,0,0,760551,4314054
0,0,0,0,0,0,760539,4314041
0,0,0,0,0,0,760526,4314028
0,0,0,0,0,0,760520,4314016
0,0,0,0,0,0,760503,4314008
0,0,0,0,0,0,760482,4313987
0,0,0,0,0,0,760466,4313984
0,0,0,0,0,0,760719,4314167
0,0,0,0,0,0,760449,4313968
0,0,0,0,0,0,760436,4313963
0,0,0,0,0,0,760414,4313950
0,0,0,0,0,0,760405,4313939
0,0,0,0,0,0,760689,4314145
0,0,0,0,0,0,760666,4314133
0,0,0,0,0,0,760656,4314124
0,0,0,0,0,0,760637,4314112
0,0,0,0,0,0,760622,4314098
0,0,0,0,0,0,764480,4354811
0,0,0,0,0,0,760689,4290727
0,0,0,0,0,0,765181,4302140
0,0,0,0,0,0,765165,4301790
0,0,0,0,0,0,758390,4313810
0,0,0,0,0,0,758265,4313800
0,0,0,0,0,0,757958,4313600
0,0,0,0,0,0,760735,4313980
0,0,0,0,0,0,760515,4314440
0,0,0,0,0,0,760645,4314330
0,0,0,0,0,0,753933,4314500
0,0,0,0,0,0,753793,4314480
0,0,0,0,0,0,760404,4313560
0,0,0,0,0,0,760529,4314110
0,0,0,0,0,0,760510,4314130
0,0,0,0,0,0,760453,4314220
0,0,0,0,0,0,760359,4314170
0,0,0,0,0,0,759889,4313350
0,0,0,0,0,0,759891,4313370
0,0,0,0,0,0,760173,4313380
0,0,0,0,0,0,760295,4313560
0,0,0,0,0,0,760427,4313760
0,0,0,0,0,0,760200,4313850
0,0,0,0,0,0,761270,4312030
0,0,0,0,0,0,761159,4312260
0,0,0,0,0,0,761350,4311943
0,0,0,0,0,0,743078,4326180
0,0,0,0,0,0,743063,4326210
0,0,0,0,0,0,743106,4326170
0,0,0,0,0,0,765665,4351823
0,0,0,0,0,0,742571,4326292
0,0,0,0,0,0,760640,4313720
0,0,0,0,0,0,760455,4313932
0,0,0,0,0,0,760461,4314531
0,0,0,0,0,0,760576,4314496
0,0,0,0,0,0,766954,4327516
0,0,0,0,0,0,757551,4305939
0,0,0,0,0,0,757617,4306795
0,0,0,0,0,0,757629,4306655
0,1,0,0,0,0,756583,4306020
0,0,0,0,0,0,765436,4353965
0,0,0,0,0,0,748572,4323534
0,1,0,0,0,0,765609,4301935
0,0,0,0,0,0,756558,4302710
0,1,0,0,0,0,759213,4294935
0,0,0,0,0,0,750750,4313400
0,1,0,1,0,0,747168,4319810
0,1,0,0,0,0,745619,4321200
0,0,1,0,0,0,756537,4296966
0,0,0,0,0,0,759826,4289179
0,1,0,0,0,0,761394,4292835
0,0,0,0,0,0,761560,4289294
0,0,1,0,0,0,761900,4289642
0,0,0,0,0,0,756246,4297581
0,0,0,0,0,0,758665,4289863
0,0,0,0,0,0,761651,4291723
0,0,0,0,0,0,760897,4289061
0,1,0,0,0,0,740697,4337940
0,0,0,0,0,0,738252,4331161
0,0,0,0,0,0,742828,4333098
0,1,0,0,0,0,766502,4336551
0,0,0,0,0,0,765327,4329533
0,0,0,0,0,0,766343,4331018
0,0,0,0,0,1,763134,4308000
0,0,0,0,0,0,755815,4303210
0,0,0,0,0,0,751973,4303850
0,0,0,0,0,0,751505,4306830
0,0,0,0,0,0,751579,4306680
0,0,0,0,0,0,751985,4303340
0,0,1,0,0,0,768099,4311750
0,0,1,0,0,0,768164,4311690
0,0,1,0,0,0,768669,4312580
0,0,1,0,0,0,767805,4313190
0,0,1,0,0,0,768020,4313110
0,0,1,0,0,0,768049,4305760
0,0,0,0,0,0,750396,4309780
0,0,0,0,0,0,750734,4309710
0,1,0,0,0,0,749577,4308450
0,1,0,0,0,0,758353,4291965
0,0,0,0,0,0,759192,4292827
0,0,0,0,0,0,759192,4292827
0,0,0,0,0,0,757174,4294633
0,1,0,0,0,0,756584,4295454
0,0,0,0,0,0,757566,4295445
0,0,0,0,0,0,758807,4295876
0,1,0,0,0,0,757585,4296516
0,0,1,0,0,0,763721,4296408
0,0,0,0,0,0,758595,4296563
0,1,0,0,0,0,758743,4296186
0,1,0,0,0,0,764998,4300362
0,0,1,0,0,0,765615,4300465
0,0,1,0,0,0,766864,4307283
0,1,0,0,0,0,765854,4307737
0,0,0,0,0,0,765447,4308070
0,0,1,0,0,0,770337,4309990
0,0,0,0,0,0,759228,4292044
0,0,0,0,0,0,751071,4313590
0,0,0,0,0,0,747627,4318820
0,0,0,1,0,0,745582,4320320
0,0,0,0,0,1,758851,4308490
0,0,0,0,0,1,738445,4330200
0,1,0,0,0,0,738484,4330110
0,1,0,1,0,0,749310,4313170
0,1,0,1,0,0,750105,4307790
0,1,0,0,0,0,749839,4307750
0,0,1,1,0,0,748461,4310440
0,0,0,0,0,0,748519,4310190
0,0,0,0,1,0,750273,4306990
0,0,0,0,0,0,750140,4307110
0,1,0,0,0,0,757807,4299043
0,0,1,0,0,0,748815,4310020
0,0,0,0,0,0,749920,4307510
0,0,0,0,0,0,743219,4310091
0,0,1,0,0,0,766008,4306480
